year;Y;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23
2018;1;4,675848637;6,034464932;0,869801621;3,317262541;0,627627872;1,616662612;0,602000097;0,959167246;1,149687442;1,744830575;64,29238824;1;0,357076118;2,800523336;0,357076118;0,958922784;3,433186138;11,36086784;6,839243547;19,15346115;0,068392435;0,183666903;0,130614471
2017;1;4,848808078;5,823597692;0,967639213;3,861508705;0,667390281;1,71755715;0,571276201;0,855985196;1,033443029;1,29092378;61,68977429;1;0,383102257;2,610269142;0,383102257;1,151807165;3,342921651;15,16545816;8,663665319;22,61449824;0,086636653;0,260475411;0,15672637
2016;1;4,449737096;5,387504333;0,755264612;3,648620307;0,650527503;2,007166728;0,701449568;1,078278113;1,324039263;1,592171154;64,99840483;1,053633371;0,383102257;2,610269142;0,403649323;1,155024576;3,342921651;9,922342261;6,960022696;17,24274589;0,066057349;0,199157953;0,131375707
2015;1;8,124334222;9,276282209;0,971035829;6,540571084;0,816301807;4,082930219;0,750026903;0,918810784;1,029828118;1,303119869;31,30276862;1;0,686972314;1,455662739;0,686972314;3,739679212;7,806609024;10,52165364;7,891523295;11,48739642;0,078915233;0,429591776;0,108354948
2014;1;5,301444118;6,71914147;1,292495564;3,904936491;0,798385889;2,60783387;0,525776106;0,658548846;0,773697046;1,133151044;25,27143769;1;0,747285623;1,33817642;0,747285623;3,706514494;6,289086376;8,322960252;4,376013633;5,855878259;0,043760136;0,217048976;0,064394498
2013;1;5,823451365;6,328627663;2,10989135;5,366552398;0,915058416;4,299066875;0,365169551;0,399066928;0,473958055;0,470608654;23,58608043;1;0,764139196;1,308662094;0,764139196;8,996055377;5,284856539;13,03817244;4,761143578;6,230728125;0,047611436;0,560519753;0,061795468
2012;0;3,639089254;4,576759742;17,13269459;2,923586152;0,908514992;0,452989511;0,041441749;0,045614822;0,058367935;0,071408219;24,34836149;1;0,756516385;1,321848435;0,756516385;8,269293493;3,811047443;-96,91942498;-4,01651051;-5,309218134;-0,040165105;-0,43903483;-0,056569867
2011;0;0,365872123;1,06440211;0,212944063;0,070927351;0,748584025;0,846011994;0,21270093;0,284137683;4,696068935;4,264035569;75,24867514;1;0,247513249;4,04018777;0,247513249;0,984477015;0,351935942;-62,13285027;-13,21571506;-53,39397038;-0,132157151;-0,525651366;-2,91780148
2018;1;0,452765517;0,7625653;-0,129336743;0,111139701;0,672625866;4,946231436;1,619268231;2,40738323;-7,731754945;16,51783209;95,33522757;1;0,046647724;21,43727296;0,046647724;0,142490562;0,052885174;0,171290838;0,277365812;5,94596663;0,002773658;0,008472441;-0,013243788
2017;1;0,572723397;0,730166018;-0,183404809;0,055001504;0,624941571;3,357413183;1,259226113;2,014950151;-5,452419747;26,74923464;93,29105998;1;0,0670894;14,90548429;0,0670894;0,178877196;0,078385568;0,625198254;0,787265968;11,73458051;0,00787266;0,020990489;-0,034088433
2016;1;0,677123304;0,949354131;-0,019350092;0,028231653;0,80245819;11,19943532;2,212356729;2,756974454;-51,67933998;92,70959486;97,30013452;1;0,026998655;37,03888241;0,026998655;0,136673116;0,031940959;0,428602918;0,94822255;35,12110352;0,009482225;0,048001107;-0,221499159
2015;1;0,71540357;0,936473059;-0,02222303;0,221127098;0,778473392;10,72697455;2,376310288;3,052526025;-44,9983635;12,92744497;95,96262837;1;0,040373716;24,76858936;0,040373716;0,182252221;0,048568002;0,536052029;1,273825952;31,55087191;0,01273826;0,057502165;-0,241214641
2014;1;0,723698271;0,918834707;-0,034300195;0,057689143;0,787404545;9,538505141;2,027842844;2,575350698;-29,15435315;41,01849109;98,52187876;1;0,014781212;67,65344889;0,014781212;0,069527415;0,017248429;0,870277383;1,764785764;119,3938435;0,017647858;0,083011453;-0,253723742
2013;1;0,691062113;0,937408128;-0,032593956;0,100033008;0,791630744;7,782894768;1,621715991;2,048576313;-30,68053459;19,19718417;97,08479181;1;0,029152082;34,30286744;0,029152082;0,139905869;0,034520386;0,953026632;1,545538529;53,01640329;0,015455385;0,07417306;-0,292393665
2012;1;0,800141927;0,980460508;-0,008417011;0,014737739;0,799153948;9,42090079;1,892150727;2,367692397;-118,8070258;157,5159408;98,09856558;1;0,019014344;52,59187419;0,019014344;0,094671237;0,023328188;0,747363501;1,414124392;74,37145212;0,014141244;0,070408374;-0,887920348
2011;1;0,851788144;0,989263666;-0,006057371;0,101024132;0,787742467;6,649377267;1,411380417;1,791677454;-165,0881337;17,54473278;97,6826151;1;0,023173849;43,1520893;0,023173849;0,109177981;0,02910221;1,171363527;1,653239543;71,3407404;0,016532395;0,07788838;-1,933782185
